,id,Serovar,ST,Country,Source,aptA,cph2,dam_1,dcm_2,dinI_1,dnaC_2,flxA,folP_2,glfT2,gltJ,gltS_2,lexA_2,lolE,merA,merC,merP,merR,merT,neo,repA,rpsK,rpsT,rrrD,rsxC_1,sopE,ssb_2,sspH2,tetA_2,tetC,tetR,tfaE_1,tnpR,tnsB,tolA,tuf1,tuf1_2,xerD_3,ybfF,ybiT,yhcR,ylcG_1,yqjZ
23,SRR10133386,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
24,SRR10133408,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
25,SRR10133417,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0
26,SRR10139548,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
27,SRR10139590,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
28,SRR10198880,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
29,SRR10198929,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0
30,SRR10200157,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1
31,SRR10222012,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
32,SRR10222023,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
33,SRR10222093,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
34,SRR10222103,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
35,SRR10222110,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
36,SRR10228804,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1
37,SRR10228821,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
38,SRR10228836,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
39,SRR10229727,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1
40,SRR10229743,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
41,SRR10232079,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
42,SRR10235806,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
43,SRR10236697,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
44,SRR10247538,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
45,SRR10254165,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1
46,SRR10254198,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
47,SRR10254330,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
48,SRR10254336,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
49,SRR10254345,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
50,SRR10254354,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
51,SRR10302572,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
52,SRR10313674,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
53,SRR10326311,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
54,SRR10337378,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1
55,SRR10342441,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1
56,SRR10350881,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
57,SRR10350884,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0
58,SRR10350910,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
59,SRR10350940,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1
60,SRR10360772,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
61,SRR10360803,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
62,SRR10360814,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1
63,SRR10386797,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1
64,SRR10393198,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1
65,SRR10404557,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
66,SRR10420546,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0
67,SRR10467019,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1
68,SRR10491552,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
69,SRR10491732,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
70,SRR10519582,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0
71,SRR10542580,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0
72,SRR10542591,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
73,SRR10580037,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
74,SRR10604668,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1
75,SRR10604711,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0
76,SRR10810757,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0
77,SRR10810786,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0
78,SRR10905073,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
79,SRR10905079,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
80,SRR10915077,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
81,SRR10915105,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
82,SRR10968172,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
83,SRR10968176,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
84,SRR10981278,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
85,SRR10996954,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
86,SRR11028677,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
87,SRR11035380,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
88,SRR11048370,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1
89,SRR11048378,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1
90,SRR11048384,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
91,SRR11048391,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
92,SRR11080877,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1
93,SRR11080878,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
94,SRR11096915,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1
95,SRR11102137,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
96,SRR11147306,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
97,SRR11215565,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
98,SRR11230952,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
99,SRR11230993,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0
100,SRR11230994,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
101,SRR11231007,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
102,SRR11362181,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
103,SRR11362233,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
104,SRR11363626,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1
105,SRR11363630,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1
106,SRR11363658,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1
107,SRR11364974,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
108,SRR11410115,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0
109,SRR11410117,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1
