FILE,SCHEME,ST,aroC,dnaN,hemD,hisD,purE,sucA,thrA
DRR236565,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236566,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236586,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236587,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236588,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236589,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452349,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452356,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024396,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024630,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024631,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024633,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024636,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024638,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024639,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024754,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024755,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024804,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024809,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024945,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024954,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024955,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR028647,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10109283,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10124390,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10124398,senterica_achtman_2,2379,10,19,363,9,5,9,2
ERR10124460,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10368784,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10368791,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10368793,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10368795,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10368810,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10368828,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10368835,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10368839,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10368842,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10368857,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10441519,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10460919,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10502528,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10880385,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10928752,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10928753,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10928754,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10928755,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10928756,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10928758,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1520683,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540288,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540292,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540304,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540314,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540315,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540316,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540319,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540327,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540330,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540333,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540341,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540346,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540357,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540365,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540366,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540373,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540374,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540377,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540380,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540381,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540384,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540386,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540389,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540393,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540394,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540395,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540396,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540397,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540398,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540399,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540403,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540404,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540406,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540412,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540414,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540415,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540416,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540425,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540427,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540433,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540438,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540439,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540442,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540444,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540446,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540457,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540467,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540470,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540471,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540472,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540473,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540474,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540475,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540484,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540485,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540491,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540494,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540499,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540500,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540501,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540504,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540505,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540506,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540507,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540533,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540534,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540547,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540552,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540553,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540559,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540561,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540562,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540565,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540566,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540567,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540568,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540569,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540570,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540577,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540578,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540579,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540583,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540584,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540585,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540589,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540590,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540591,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540594,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540595,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540596,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540597,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540601,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540602,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540607,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540608,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540611,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540612,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540613,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540614,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540615,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540618,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540620,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540621,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540622,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540627,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540628,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540631,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540632,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540635,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540636,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540637,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1558650,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590172,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590174,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590176,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590178,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590180,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590182,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590183,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590184,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590185,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590187,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590188,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590189,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590190,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590191,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590192,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590193,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590195,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590196,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590197,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590198,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590199,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590200,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590202,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590203,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590204,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590205,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590206,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590208,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590209,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590210,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592391,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592392,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592393,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592397,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592398,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592401,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592404,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592408,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592417,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592433,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592435,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592438,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592439,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592442,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592443,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592452,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592453,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592464,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592465,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592467,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592469,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592473,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592476,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592479,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592483,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592487,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592489,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592491,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592492,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592502,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592514,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592516,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592517,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592518,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592521,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592538,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592556,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592562,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592566,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592584,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592585,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592586,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592587,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592588,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592590,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592591,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592592,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592597,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592598,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592600,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592603,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592604,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592606,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592608,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592609,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592610,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592611,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592614,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592615,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1735777,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744972,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744973,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744974,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744975,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744976,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744977,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744978,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744979,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744980,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744981,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744982,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744983,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744984,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744985,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744986,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744987,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744988,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744989,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744990,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744991,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744992,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744993,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744994,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744995,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744996,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744997,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744998,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744999,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745000,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745001,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745002,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745003,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745004,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745005,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745006,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745007,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745008,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745009,senterica_achtman_2,-,1387?,19,12,9,5,9,2
ERR1745010,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745011,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745012,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745013,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745014,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745015,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745016,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745017,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1745018,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1788675,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1788684,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1788687,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1788688,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1788689,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1788698,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1788702,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1806842,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1806847,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1810356,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1810362,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1815681,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1817331,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1817394,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1817398,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1817519,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1817536,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1823831,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1857447,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1857451,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1857523,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1857525,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000331,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000333,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000334,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000337,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000338,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000341,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000342,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000343,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000344,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000346,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000347,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000349,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000351,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000353,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000362,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000363,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000366,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000367,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000377,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000379,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000383,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000384,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000386,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000393,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000403,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000404,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000405,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000406,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000416,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008116,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008128,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008129,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008130,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008131,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008132,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008145,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008155,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008161,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008163,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023105,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023169,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023515,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023516,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023518,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023521,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023522,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023526,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023529,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023530,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023531,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023539,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023541,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023543,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023544,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023554,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023555,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023558,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023559,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023563,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023566,senterica_achtman_2,34,10,19,12,9,5,9,2
