#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	Min-same	Min-diff	BioSample	Assembly	Computed types
Salmonella enterica	H130100234	"H130100234","H130100234.biosample","SRS740035"	Typhimurium	PDT000042967.4	2015-02-10T19:10:07Z	United Kingdom: Midlands and East of England	human	clinical	6	11	SAMN03168742	GCA_011526765.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123760484	"H123760484","H123760484.biosample","SRS740038"	Typhimurium	PDT000042970.4	2015-02-10T19:10:07Z	United Kingdom: North of England	human	clinical	4	17	SAMN03168745	GCA_010938135.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	H123560739	"H123560739","H123560739.biosample","SRS740045"	Typhimurium	PDT000042978.4	2015-02-10T19:10:07Z	United Kingdom: Midlands and East of England	human	clinical	2	14	SAMN03168751	GCA_011595545.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	H123000193	"H123000193","H123000193.biosample","SRS740049"	Typhimurium	PDT000042980.4	2015-02-10T19:10:08Z	United Kingdom: Midlands and East of England	human	clinical	8	17	SAMN03168754	GCA_011076855.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	H123760487	"H123760487","H123760487.biosample","SRS740060"	Typhimurium	PDT000042990.4	2015-02-10T19:10:08Z	United Kingdom: Midlands and East of England	human	clinical	3	22	SAMN03168765	GCA_011078685.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H124980668	"H124980668","H124980668.biosample","SRS740109"	Typhimurium	PDT000043014.4	2015-02-10T19:10:09Z	United Kingdom: Midlands and East of England	human	clinical	9	9	SAMN03168789	GCA_011641455.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H124440654	"H124440654","H124440654.biosample","SRS740112"	Typhimurium	PDT000043017.4	2015-02-10T19:10:09Z		human	clinical	3	6	SAMN03168792	GCA_011594775.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123020539	"H123020539","H123020539.biosample","SRS740131"	Typhimurium	PDT000043036.4	2015-02-10T19:10:09Z	United Kingdom: Midlands and East of England	human	clinical	5	8	SAMN03168811	GCA_011595465.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123920645	"H123920645","H123920645.biosample","SRS740138"	Typhimurium	PDT000043043.4	2015-02-10T19:10:09Z	United Kingdom: Midlands and East of England	human	clinical	12	17	SAMN03168816	GCA_011586805.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H120200427	"H120200427","H120200427.biosample","SRS740141"	Typhimurium	PDT000043046.5	2015-02-10T19:10:10Z	United Kingdom: South of England	human	clinical	1	34	SAMN03168821	GCA_011625945.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	H124500619	"H124500619","H124500619.biosample","SRS740145"	Typhimurium	PDT000043050.4	2015-02-10T19:10:10Z	United Kingdom: London	human	clinical	2	15	SAMN03168823	GCA_010938575.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H121620617	"H121620617","H121620617.biosample","SRS740213"	Typhimurium	PDT000043062.4	2015-02-10T19:10:10Z	United Kingdom: Midlands and East of England	human	clinical	10	10	SAMN03168839	GCA_008043035.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	H123600552	"H123600552","H123600552.biosample","SRS740221"	Typhimurium	PDT000043070.4	2015-02-10T19:10:10Z	United Kingdom: South of England	human	clinical	6	6	SAMN03168846	GCA_008043055.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H121541007	"H121541007","H121541007.biosample","SRS740243"	Typhimurium	PDT000043092.4	2015-02-10T19:10:11Z	United Kingdom: South of England	human	clinical	4	7	SAMN03168868	GCA_011534705.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H130100236	"H130100236","H130100236.biosample","SRS740244"	Typhimurium	PDT000043093.4	2015-02-10T19:10:11Z	United Kingdom: North of England	human	clinical	2	14	SAMN03168870	GCA_010966975.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	H120600622	"H120600622","H120600622.biosample","SRS740253"	Typhimurium	PDT000043102.4	2015-02-10T19:10:11Z	United Kingdom: South of England	human	clinical	4	7	SAMN03168883	GCA_011526725.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H120140655	"H120140655","H120140655.biosample","SRS740282"	Typhimurium	PDT000043129.4	2015-02-10T19:10:12Z	United Kingdom: North of England	human	clinical	2	4	SAMN03168961	GCA_008043655.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123840459	"H123840459","H123840459.biosample","SRS740381"	Typhimurium	PDT000043163.5	2015-02-10T19:10:13Z	United Kingdom: South of England	human	clinical	0	2	SAMN03168993	GCA_011079045.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H122240480	"H122240480","H122240480.biosample","SRS740414"	Typhimurium	PDT000043196.5	2015-02-10T19:10:14Z	United Kingdom: Wales	human	clinical	6	9	SAMN03169026	GCA_008044065.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H124020454	"H124020454","H124020454.biosample","SRS740423"	Typhimurium	PDT000043206.5	2015-02-10T19:10:14Z	United Kingdom: South of England	human	clinical	10	17	SAMN03169038	GCA_008044035.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H120720536	"H120720536","H120720536.biosample","SRS740431"	Typhimurium	PDT000043213.5	2015-02-10T19:10:14Z	United Kingdom: Midlands and East of England	human	clinical	5	7	SAMN03169045	GCA_011641655.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123260514	"H123260514","H123260514.biosample","SRS740442"	Typhimurium	PDT000043224.5	2015-02-10T19:10:15Z	United Kingdom: Midlands and East of England	human	clinical	2	6	SAMN03169054	GCA_008044135.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H121580356	"H121580356","H121580356.biosample","SRS740445"	Typhimurium	PDT000043225.5	2015-02-10T19:10:15Z	United Kingdom: London	human	clinical	6	34	SAMN03169057	GCA_010941995.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123220527	"H123220527","H123220527.biosample","SRS740452"	Typhimurium	PDT000043235.5	2015-02-10T19:10:15Z	United Kingdom: North of England	human	clinical	1	14	SAMN03169068	GCA_011607145.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H122160478	"H122160478","H122160478.biosample","SRS740461"	Typhimurium	PDT000043242.5	2015-02-10T19:10:15Z	United Kingdom: Wales	human	clinical	15	22	SAMN03169076	GCA_008042955.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	H122460449	"H122460449","H122460449.biosample","SRS740483"	Typhimurium	PDT000043265.5	2015-02-10T19:10:16Z	United Kingdom: South of England	human	clinical	1	3	SAMN03169099	GCA_008045075.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H122040353	"H122040353","H122040353.biosample","SRS740486"	Typhimurium	PDT000043267.5	2015-02-10T19:10:16Z	United Kingdom: South of England	human	clinical	17	14	SAMN03169100	GCA_008044835.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H125000416	"H125000416","H125000416.biosample","SRS740495"	Typhimurium	PDT000043276.5	2015-02-10T18:10:08Z	United Kingdom: Midlands and East of England	human	clinical	10	19	SAMN03169110	GCA_008005365.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H120340383	"H120340383","H120340383.biosample","SRS740516"	Typhimurium	PDT000043297.5	2015-02-10T18:10:09Z	United Kingdom: South of England	human	clinical	17	19	SAMN03169130	GCA_008003105.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H122440438	"H122440438","H122440438.biosample","SRS740561"	Typhimurium	PDT000043334.5	2015-02-10T18:10:10Z	United Kingdom: Midlands and East of England	human	clinical	1	10	SAMN03169196	GCA_008018115.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123460446	"H123460446","H123460446.biosample","SRS740586"	Typhimurium	PDT000043360.5	2015-02-10T18:10:11Z	United Kingdom: South of England	human	clinical	2	8	SAMN03169234	GCA_008018495.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H120940573	"H120940573","H120940573.biosample","SRS740587"	Typhimurium	PDT000043361.5	2015-02-10T18:10:11Z		human	clinical	1	11	SAMN03169235	GCA_008018575.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H120660638	"H120660638","H120660638.biosample","SRS740595"	Typhimurium	PDT000043369.5	2015-02-10T18:10:11Z	United Kingdom: South of England	human	clinical	1	35	SAMN03169241	GCA_008018655.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	H123940595	"H123940595","H123940595.biosample","SRS740623"	Typhimurium	PDT000043396.5	2015-02-10T18:10:12Z	United Kingdom: Midlands and East of England	human	clinical	7	12	SAMN03169283	GCA_008018915.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123280510	"H123280510","H123280510.biosample","SRS740624"	Typhimurium	PDT000043398.5	2015-02-10T18:10:12Z	United Kingdom: Midlands and East of England	human	clinical	7	9	SAMN03169284	GCA_008018935.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H125000419	"H125000419","H125000419.biosample","SRS740640"	Typhimurium	PDT000043414.5	2015-02-10T18:10:13Z	United Kingdom: London	human	clinical	5	10	SAMN03169305	GCA_008019215.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H122720604	"H122720604","H122720604.biosample","SRS740666"	Typhimurium	PDT000043440.5	2015-02-10T18:10:14Z	United Kingdom: South of England	human	clinical	1	5	SAMN03169331	GCA_008019715.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H124080657	"H124080657","H124080657.biosample","SRS740703"	Typhimurium	PDT000043456.5	2015-02-10T18:10:14Z	United Kingdom: London	human	clinical	2	11	SAMN03169347	GCA_008020035.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123900526	"H123900526","H123900526.biosample","SRS740707"	Typhimurium	PDT000043460.5	2015-02-10T18:10:15Z	United Kingdom: South of England	human	clinical	1	12	SAMN03169351	GCA_008019995.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123820509	"H123820509","H123820509.biosample","SRS740727"	Typhimurium	PDT000043480.5	2015-02-10T18:10:15Z	United Kingdom: North of England	human	clinical	1	3	SAMN03169408	GCA_008019535.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123640759	"H123640759","H123640759.biosample","SRS740746"	Typhimurium	PDT000043497.5	2015-02-10T18:10:16Z	United Kingdom: Midlands and East of England	human	clinical	4	7	SAMN03169445	GCA_008020235.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H121780080	"H121780080","H121780080.biosample","SRS740782"	Typhimurium	PDT000043534.5	2015-02-10T18:10:17Z	United Kingdom: South of England	human	clinical	1	4	SAMN03169498	GCA_008021535.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H121700469	"H121700469","H121700469.biosample","SRS740802"	Typhimurium	PDT000043554.5	2015-02-10T18:10:18Z		human	clinical	1	13	SAMN03169517	GCA_008020855.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H124840273	"H124840273","H124840273.biosample","SRS740805"	Typhimurium	PDT000043555.5	2015-02-10T18:10:18Z	United Kingdom: Midlands and East of England	food	environmental/other	0	4	SAMN03169518	GCA_008020895.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H120920333	"H120920333","H120920333.biosample","SRS740840"	Typhimurium	PDT000043580.5	2015-02-10T18:10:18Z	United Kingdom: Midlands and East of England	human	clinical	1	4	SAMN03169542	GCA_008021155.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H121020647	"H121020647","H121020647.biosample","SRS740921"	Typhimurium	PDT000043645.4	2015-02-10T18:10:21Z	United Kingdom: London	human	clinical	4	12	SAMN03169612	GCA_008021715.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	H124360236	"H124360236","H124360236.biosample","SRS740923"	Typhimurium	PDT000043646.4	2015-02-10T18:10:21Z	United Kingdom: London	human	clinical	0	9	SAMN03169614	GCA_008021695.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H122800358	"H122800358","H122800358.biosample","SRS740925"	Typhimurium	PDT000043647.4	2015-02-10T18:10:21Z	United Kingdom: South of England	human	clinical	8	15	SAMN03169616	GCA_008021675.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123560737	"H123560737","H123560737.biosample","SRS740998"	Typhimurium	PDT000043664.4	2015-02-10T18:10:21Z	United Kingdom: Midlands and East of England	human	clinical	3	21	SAMN03169631	GCA_008022595.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	H123840458	"H123840458","H123840458.biosample","SRS741026"	Typhimurium	PDT000043692.4	2015-02-10T18:10:22Z	United Kingdom: South of England	human	clinical	0	2	SAMN03169671	GCA_008022935.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	CFSAN024427	"CFSAN024427","SRS839823","VAR-2009/08832/1"	4,5:i:-	PDT000049333.2	2015-02-09T15:09:34Z	Belgium	pig at slaughter	environmental/other	17	15	SAMN03165670	GCA_014757025.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	CFSAN024419	"CFSAN024419","SRS839828","VAR-2008/14672/1"	4,5:i:-	PDT000049334.2	2015-02-09T15:09:34Z	Belgium	pig at slaughter	environmental/other	17	12	SAMN03165662	GCA_014757665.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	46602	"46602","46602.biosample","SRS897807"	Typhimurium	PDT000052752.2	2015-04-09T05:12:09Z	United Kingdom: London	human	clinical	3	5	SAMN03465664	GCA_010908305.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	58526	"58526","58526.biosample","SRS897843"	Typhimurium	PDT000052801.2	2015-04-09T05:12:11Z	United Kingdom: Midlands and East of England	human	clinical	3	17	SAMN03465714	GCA_011550375.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	60392	"60392","60392.biosample","SRS897872"	Typhimurium	PDT000052829.2	2015-04-09T05:12:12Z	United Kingdom: Wales	human	clinical	17	19	SAMN03465748	GCA_011091985.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	48251	"48251","48251.biosample","SRS897878"	Typhimurium	PDT000052841.2	2015-04-09T05:12:12Z	United Kingdom: Midlands and East of England	human	clinical	4	13	SAMN03465760	GCA_011091525.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	66489	"66489","66489.biosample","SRS897915"	Typhimurium	PDT000052864.2	2015-04-09T05:12:13Z	United Kingdom: South of England	human	clinical	9	11	SAMN03465783	GCA_009997185.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	54050	"54050","54050.biosample","SRS897945"	Typhimurium	PDT000052898.2	2015-04-09T05:12:15Z	United Kingdom: North of England	animal	environmental/other	0	0	SAMN03465817	GCA_011094085.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	63543	"63543","63543.biosample","SRS897992"	Typhimurium	PDT000052949.2	2015-04-09T05:12:17Z	United Kingdom: North of England	food	environmental/other	1	0	SAMN03465868	GCA_010938495.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	64998	"64998","64998.biosample","SRS898047"	Typhimurium	PDT000052987.2	2015-04-09T05:12:19Z	United Kingdom: London	human	clinical	15	39	SAMN03465906	GCA_011529605.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	53994	"53994","53994.biosample","SRS898061"	Typhimurium	PDT000052999.2	2015-04-09T05:12:19Z	United Kingdom: North of England	animal	environmental/other	0	0	SAMN03465918	GCA_011087085.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	50142	"50142","50142.biosample","SRS898113"	Typhimurium	PDT000053052.3	2015-04-09T05:12:21Z	United Kingdom: North of England	human	clinical	5	16	SAMN03465971	GCA_011626665.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	66448	"66448","66448.biosample","SRS898133"	Typhimurium	PDT000053074.2	2015-04-09T05:12:22Z	United Kingdom: North of England	human	clinical	0	29	SAMN03465993	GCA_010960225.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	63564	"63564","63564.biosample","SRS898178"	Typhimurium	PDT000053114.2	2015-04-09T05:12:24Z	United Kingdom: Midlands and East of England	human	clinical	0	13	SAMN03466033	GCA_011087405.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	60394	"60394","60394.biosample","SRS898193"	Typhimurium	PDT000053127.2	2015-04-09T05:12:24Z	United Kingdom: London	human	clinical	8	10	SAMN03466046	GCA_011485345.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	48284	"48284","48284.biosample","SRS898236"	Typhimurium	PDT000053156.2	2015-04-09T05:12:26Z	United Kingdom: Midlands and East of England	human	clinical	0	26	SAMN03466075	GCA_011483545.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	54065	"54065","54065.biosample","SRS898227"	Typhimurium	PDT000053159.2	2015-04-09T05:12:26Z	United Kingdom: North of England	animal	environmental/other	0	0	SAMN03466078	GCA_011637135.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	63534	"63534","63534.biosample","SRS898248"	Enteritidis	PDT000053176.2	2015-04-09T05:12:27Z	United Kingdom: South of England	human	clinical	0	13	SAMN03466095	GCA_010869275.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	66442	"66442","66442.biosample","SRS898303"	Typhimurium	PDT000053220.2	2015-04-09T05:12:28Z	United Kingdom: North of England	human	clinical	0	9	SAMN03466140	GCA_011637895.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	58517	"58517","58517.biosample","SRS898319"	Typhimurium	PDT000053233.2	2015-04-09T05:12:29Z	United Kingdom: North of England	human	clinical	8	14	SAMN03466153	GCA_011484155.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	50145	"50145","50145.biosample","SRS898369"	Typhimurium	PDT000053303.2	2015-04-09T05:12:32Z	United Kingdom: None	human	clinical	0	12	SAMN03466224	GCA_011484405.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	60388	"60388","60388.biosample","SRS898448"	Typhimurium	PDT000053360.2	2015-04-09T05:12:34Z	United Kingdom: Midlands and East of England	human	clinical	2	2	SAMN03466281	GCA_011547555.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	62534	"62534","62534.biosample","SRS898518"	Typhimurium	PDT000053444.2	2015-04-09T05:12:37Z	United Kingdom: Midlands and East of England	human	clinical	5	14	SAMN03466366	GCA_011093845.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	66463	"66463","66463.biosample","SRS898536"	Typhimurium	PDT000053454.3	2015-04-09T05:12:38Z	United Kingdom: South of England	human	clinical	1	30	SAMN03466376	GCA_006692445.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	54046	"54046","54046.biosample","SRS898596"	Typhimurium	PDT000053518.2	2015-04-09T05:12:40Z	United Kingdom: North of England	animal	environmental/other	1	1	SAMN03466441	GCA_011096045.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	58481	"58481","58481.biosample","SRS898617"	Typhimurium	PDT000053540.2	2015-04-09T05:12:41Z	United Kingdom: None	human	clinical	3	17	SAMN03466463	GCA_011485645.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	50137	"50137","50137.biosample","SRS898649"	Typhimurium	PDT000053566.2	2015-04-09T05:12:42Z	United Kingdom: Midlands and East of England	human	clinical	0	0	SAMN03466489	GCA_010959865.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	54029	"54029","54029.biosample","SRS898660"	Typhimurium	PDT000053590.2	2015-04-09T05:12:43Z	United Kingdom: North of England	human	clinical	16	29	SAMN03466513	GCA_011095185.1	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	62597	"62597","62597.biosample","SRS898665"	Typhimurium	PDT000053595.2	2015-04-09T05:12:43Z	United Kingdom: North of England	human	clinical	0	6	SAMN03466518	GCA_010949335.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	62578	"62578","62578.biosample","SRS898674"	Typhimurium	PDT000053599.2	2015-04-09T05:12:44Z	United Kingdom: South of England	human	clinical	9	9	SAMN03466522	GCA_010938215.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	66454	"66454","66454.biosample","SRS898678"	Typhimurium	PDT000053609.2	2015-04-09T05:12:44Z	United Kingdom: North of England	human	clinical	0	6	SAMN03466532	GCA_011633985.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
