#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
DRR236397,NODE_42_length_3031_cov_2888.765793,976,1168,-,Col(MP18)_1,1-193/193,===============,0/0,100.00,100.00,plasmidfinder,NC_013652,Col(MP18)_1__NC_013652,
DRR236400,NODE_33_length_32948_cov_55.553066,2543,2866,-,IncI2_1,1-324/324,===============,0/0,100.00,100.00,plasmidfinder,KP347127,IncI2_1__KP347127,
DRR236408,NODE_24_length_60414_cov_133.839891,4310,4806,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236408,NODE_36_length_20624_cov_149.248627,17677,18358,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236411,NODE_25_length_58779_cov_213.730672,55609,56105,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236411,NODE_46_length_5116_cov_234.311006,2267,2948,-,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236414,NODE_22_length_60340_cov_163.994957,4273,4769,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236414,NODE_43_length_5347_cov_191.128874,1859,2540,-,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236414,NODE_44_length_4723_cov_8082.534062,1026,1308,+,Col440II_1,2-281/282,========/======,1/3,99.29,84.45,plasmidfinder,CP023921.1,Col440II_1__CP023921.1,
DRR236414,NODE_44_length_4723_cov_8082.534062,1897,2025,+,ColRNAI_1,1-128/130,========/======,4/5,96.92,81.68,plasmidfinder,DQ298019,ColRNAI_1__DQ298019,
DRR236416,NODE_29_length_45306_cov_70.224194,4224,4720,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236416,NODE_38_length_20624_cov_83.231222,17677,18358,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236424,NODE_20_length_58824_cov_81.501336,55632,56128,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236424,NODE_42_length_5233_cov_86.930954,2263,2944,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236433,NODE_43_length_2092_cov_6508.237604,1812,2004,-,ColpVC_1,1-193/193,===============,0/0,100.00,98.96,plasmidfinder,JX133088,ColpVC_1__JX133088,
DRR236434,NODE_49_length_2092_cov_7165.334315,772,964,+,ColpVC_1,1-193/193,===============,0/0,100.00,98.96,plasmidfinder,JX133088,ColpVC_1__JX133088,
DRR236438,NODE_13_length_131326_cov_50.153751,96586,97215,-,IncHI2A_1,1-630/630,===============,0/0,100.00,99.52,plasmidfinder,BX664015,IncHI2A_1__BX664015,
DRR236438,NODE_13_length_131326_cov_50.153751,110870,111464,+,RepA_1_pKPC-CAV1321,2-596/596,========/======,2/2,99.66,80.20,plasmidfinder,CP011611,RepA_1_pKPC-CAV1321_CP011611,
DRR236438,NODE_13_length_131326_cov_50.153751,112083,112409,+,IncHI2_1,1-327/327,===============,0/0,100.00,100.00,plasmidfinder,BX664015,IncHI2_1__BX664015,
DRR236439,NODE_13_length_130929_cov_52.851323,18918,19244,-,IncHI2_1,1-327/327,===============,0/0,100.00,100.00,plasmidfinder,BX664015,IncHI2_1__BX664015,
DRR236439,NODE_13_length_130929_cov_52.851323,19863,20457,-,RepA_1_pKPC-CAV1321,2-596/596,========/======,2/2,99.66,80.20,plasmidfinder,CP011611,RepA_1_pKPC-CAV1321_CP011611,
DRR236439,NODE_13_length_130929_cov_52.851323,34112,34741,+,IncHI2A_1,1-630/630,===============,0/0,100.00,99.52,plasmidfinder,BX664015,IncHI2A_1__BX664015,
DRR236440,NODE_38_length_6814_cov_927.387483,563,693,+,ColRNAI_1,1-130/130,========/======,1/1,100.00,87.79,plasmidfinder,DQ298019,ColRNAI_1__DQ298019,
DRR236440,NODE_45_length_3885_cov_2221.227937,2496,2605,-,Col440I_1,1-110/114,===============,0/0,96.49,90.91,plasmidfinder,CP023920.1,Col440I_1__CP023920.1,
DRR236441,NODE_37_length_6814_cov_422.054742,5594,5724,+,ColRNAI_1,1-130/130,========/======,1/1,100.00,87.79,plasmidfinder,DQ298019,ColRNAI_1__DQ298019,
DRR236441,NODE_43_length_3885_cov_1029.503133,932,1041,+,Col440I_1,1-110/114,===============,0/0,96.49,90.91,plasmidfinder,CP023920.1,Col440I_1__CP023920.1,
DRR236442,NODE_40_length_6814_cov_557.536766,3007,3137,+,ColRNAI_1,1-130/130,========/======,1/1,100.00,87.79,plasmidfinder,DQ298019,ColRNAI_1__DQ298019,
DRR236442,NODE_47_length_3885_cov_1156.685901,3716,3825,-,Col440I_1,1-110/114,===============,0/0,96.49,90.91,plasmidfinder,CP023920.1,Col440I_1__CP023920.1,
DRR236443,NODE_41_length_6814_cov_445.181536,637,767,+,ColRNAI_1,1-130/130,========/======,1/1,100.00,87.79,plasmidfinder,DQ298019,ColRNAI_1__DQ298019,
DRR236444,NODE_37_length_6814_cov_337.887705,6682,6812,+,ColRNAI_1,1-130/130,========/======,1/1,100.00,87.79,plasmidfinder,DQ298019,ColRNAI_1__DQ298019,
DRR236444,NODE_42_length_3885_cov_904.705483,1417,1526,+,Col440I_1,1-110/114,===============,0/0,96.49,90.91,plasmidfinder,CP023920.1,Col440I_1__CP023920.1,
DRR236445,NODE_37_length_6814_cov_753.221039,384,514,+,ColRNAI_1,1-130/130,========/======,1/1,100.00,87.79,plasmidfinder,DQ298019,ColRNAI_1__DQ298019,
DRR236445,NODE_43_length_3885_cov_2135.980940,3369,3478,-,Col440I_1,1-110/114,===============,0/0,96.49,90.91,plasmidfinder,CP023920.1,Col440I_1__CP023920.1,
DRR236466,NODE_22_length_58824_cov_53.184929,55632,56128,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236466,NODE_37_length_7334_cov_246.300675,5469,6264,-,IncQ1_1,1-796/796,===============,0/0,100.00,100.00,plasmidfinder,M28829.1,IncQ1_1__M28829.1,
DRR236466,NODE_43_length_5233_cov_58.918735,2290,2971,-,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236476,NODE_14_length_130973_cov_29.632487,18940,19266,-,IncHI2_1,1-327/327,===============,0/0,100.00,100.00,plasmidfinder,BX664015,IncHI2_1__BX664015,
DRR236476,NODE_14_length_130973_cov_29.632487,19885,20479,-,RepA_1_pKPC-CAV1321,2-596/596,========/======,2/2,99.66,80.20,plasmidfinder,CP011611,RepA_1_pKPC-CAV1321_CP011611,
DRR236476,NODE_14_length_130973_cov_29.632487,34134,34763,+,IncHI2A_1,1-630/630,===============,0/0,100.00,99.52,plasmidfinder,BX664015,IncHI2A_1__BX664015,
DRR236480,NODE_23_length_58779_cov_332.705504,2675,3171,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236480,NODE_44_length_5342_cov_375.644600,2267,2948,-,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236484,NODE_24_length_60340_cov_128.821863,55572,56068,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236484,NODE_46_length_5116_cov_154.221695,2267,2948,-,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236487,NODE_28_length_45369_cov_81.969612,4287,4783,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236487,NODE_47_length_5116_cov_93.535072,2169,2850,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236489,NODE_13_length_130929_cov_89.618679,18918,19244,-,IncHI2_1,1-327/327,===============,0/0,100.00,100.00,plasmidfinder,BX664015,IncHI2_1__BX664015,
DRR236489,NODE_13_length_130929_cov_89.618679,19863,20457,-,RepA_1_pKPC-CAV1321,2-596/596,========/======,2/2,99.66,80.20,plasmidfinder,CP011611,RepA_1_pKPC-CAV1321_CP011611,
DRR236489,NODE_13_length_130929_cov_89.618679,34112,34741,+,IncHI2A_1,1-630/630,===============,0/0,100.00,99.52,plasmidfinder,BX664015,IncHI2A_1__BX664015,
DRR236491,NODE_30_length_36177_cov_45.044654,13013,13432,-,IncHI1A_1,1-420/420,===============,0/0,100.00,99.76,plasmidfinder,AF250878,IncHI1A_1__AF250878,
DRR236491,NODE_30_length_36177_cov_45.044654,26509,27048,+,IncHI1B(R27)_1_R27,1-540/540,===============,0/0,100.00,100.00,plasmidfinder,AF250878,IncHI1B(R27)_1_R27_AF250878,
DRR236491,NODE_59_length_1806_cov_43.101793,503,890,+,IncFIA(HI1)_1_HI1,1-388/388,===============,0/0,100.00,100.00,plasmidfinder,AF250878,IncFIA(HI1)_1_HI1_AF250878,
DRR236492,NODE_24_length_59086_cov_78.988904,55916,56412,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236492,NODE_48_length_5116_cov_85.722387,2169,2850,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236494,NODE_23_length_60305_cov_404.177461,4287,4783,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236494,NODE_44_length_5342_cov_478.538869,2395,3076,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236495,NODE_24_length_60391_cov_262.758403,55609,56105,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236495,NODE_47_length_4708_cov_290.186976,2169,2850,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236496,NODE_40_length_4122_cov_3237.266044,93,297,-,Col8282_1,1-205/207,===============,0/0,99.03,89.76,plasmidfinder,DQ995352,Col8282_1__DQ995352,
DRR236497,NODE_24_length_60414_cov_62.174821,55609,56105,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236497,NODE_45_length_5116_cov_72.900020,2169,2850,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236498,NODE_24_length_60391_cov_52.926644,55609,56105,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236498,NODE_35_length_23791_cov_71.841380,17961,18276,+,IncI2_1_Delta,1-316/316,===============,0/0,100.00,100.00,plasmidfinder,AP002527,IncI2_1_Delta_AP002527,
DRR236498,NODE_49_length_5365_cov_60.333522,2267,2948,-,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236499,NODE_14_length_130929_cov_39.191734,96189,96818,-,IncHI2A_1,1-630/630,===============,0/0,100.00,99.52,plasmidfinder,BX664015,IncHI2A_1__BX664015,
DRR236499,NODE_14_length_130929_cov_39.191734,110473,111067,+,RepA_1_pKPC-CAV1321,2-596/596,========/======,2/2,99.66,80.20,plasmidfinder,CP011611,RepA_1_pKPC-CAV1321_CP011611,
DRR236499,NODE_14_length_130929_cov_39.191734,111686,112012,+,IncHI2_1,1-327/327,===============,0/0,100.00,100.00,plasmidfinder,BX664015,IncHI2_1__BX664015,
DRR236500,NODE_21_length_60444_cov_52.661587,4309,4805,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236500,NODE_43_length_5386_cov_56.243549,2417,3098,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236505,NODE_13_length_130973_cov_24.653565,18940,19266,-,IncHI2_1,1-327/327,===============,0/0,100.00,100.00,plasmidfinder,BX664015,IncHI2_1__BX664015,
DRR236505,NODE_13_length_130973_cov_24.653565,19885,20479,-,RepA_1_pKPC-CAV1321,2-596/596,========/======,2/2,99.66,80.20,plasmidfinder,CP011611,RepA_1_pKPC-CAV1321_CP011611,
DRR236505,NODE_13_length_130973_cov_24.653565,34134,34763,+,IncHI2A_1,1-630/630,===============,0/0,100.00,99.52,plasmidfinder,BX664015,IncHI2A_1__BX664015,
DRR236515,NODE_26_length_59086_cov_96.081364,2675,3171,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236515,NODE_50_length_4708_cov_98.441436,1859,2540,-,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236523,NODE_22_length_60391_cov_98.734968,55609,56105,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236523,NODE_45_length_4708_cov_106.153449,2169,2850,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236524,NODE_25_length_60400_cov_121.385848,4287,4783,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236524,NODE_47_length_4708_cov_136.679776,2169,2850,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236525,NODE_31_length_31730_cov_50.112928,26948,27444,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236525,NODE_44_length_4708_cov_50.803353,2169,2850,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236526,NODE_25_length_60391_cov_200.895717,4287,4783,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236526,NODE_36_length_22813_cov_229.927762,2267,2948,-,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236527,NODE_24_length_60391_cov_367.082753,55609,56105,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236527,NODE_46_length_4708_cov_396.547174,2169,2850,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236528,NODE_24_length_60391_cov_219.573720,55609,56105,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236528,NODE_46_length_5116_cov_244.616874,2267,2948,-,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236529,NODE_25_length_60391_cov_141.326339,55609,56105,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236529,NODE_46_length_5116_cov_166.068366,2267,2948,-,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236532,NODE_26_length_58779_cov_88.165946,55609,56105,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236532,NODE_49_length_5342_cov_99.505012,2267,2948,-,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236540,NODE_27_length_60391_cov_64.279104,55609,56105,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236540,NODE_47_length_5342_cov_71.926045,2395,3076,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236541,NODE_13_length_130929_cov_50.422513,96189,96818,-,IncHI2A_1,1-630/630,===============,0/0,100.00,99.52,plasmidfinder,BX664015,IncHI2A_1__BX664015,
DRR236541,NODE_13_length_130929_cov_50.422513,110473,111067,+,RepA_1_pKPC-CAV1321,2-596/596,========/======,2/2,99.66,80.20,plasmidfinder,CP011611,RepA_1_pKPC-CAV1321_CP011611,
DRR236541,NODE_13_length_130929_cov_50.422513,111686,112012,+,IncHI2_1,1-327/327,===============,0/0,100.00,100.00,plasmidfinder,BX664015,IncHI2_1__BX664015,
DRR236542,NODE_25_length_48994_cov_128.255624,4318,4814,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236542,NODE_47_length_5365_cov_146.996798,2418,3099,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236543,NODE_24_length_48963_cov_336.558150,4287,4783,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236543,NODE_44_length_5342_cov_391.830906,2395,3076,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236544,NODE_23_length_60391_cov_240.160219,4287,4783,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236544,NODE_46_length_4708_cov_263.641092,2169,2850,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236545,NODE_14_length_131326_cov_50.609647,96586,97215,-,IncHI2A_1,1-630/630,===============,0/0,100.00,99.52,plasmidfinder,BX664015,IncHI2A_1__BX664015,
DRR236545,NODE_14_length_131326_cov_50.609647,110870,111464,+,RepA_1_pKPC-CAV1321,2-596/596,========/======,2/2,99.66,80.20,plasmidfinder,CP011611,RepA_1_pKPC-CAV1321_CP011611,
DRR236545,NODE_14_length_131326_cov_50.609647,112083,112409,+,IncHI2_1,1-327/327,===============,0/0,100.00,100.00,plasmidfinder,BX664015,IncHI2_1__BX664015,
DRR236548,NODE_20_length_60391_cov_42.703510,55609,56105,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236548,NODE_46_length_5116_cov_43.786999,2169,2850,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236550,NODE_21_length_60391_cov_43.571400,55609,56105,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236550,NODE_42_length_5116_cov_47.821774,2169,2850,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236552,NODE_13_length_130929_cov_32.942762,96189,96818,-,IncHI2A_1,1-630/630,===============,0/0,100.00,99.52,plasmidfinder,BX664015,IncHI2A_1__BX664015,
DRR236552,NODE_13_length_130929_cov_32.942762,110473,111067,+,RepA_1_pKPC-CAV1321,2-596/596,========/======,2/2,99.66,80.20,plasmidfinder,CP011611,RepA_1_pKPC-CAV1321_CP011611,
DRR236552,NODE_13_length_130929_cov_32.942762,111686,112012,+,IncHI2_1,1-327/327,===============,0/0,100.00,100.00,plasmidfinder,BX664015,IncHI2_1__BX664015,
DRR236552,NODE_26_length_43757_cov_48.210700,2675,3171,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236552,NODE_50_length_5061_cov_52.016980,2114,2795,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236553,NODE_13_length_130929_cov_28.034881,18918,19244,-,IncHI2_1,1-327/327,===============,0/0,100.00,100.00,plasmidfinder,BX664015,IncHI2_1__BX664015,
DRR236553,NODE_13_length_130929_cov_28.034881,19863,20457,-,RepA_1_pKPC-CAV1321,2-596/596,========/======,2/2,99.66,80.20,plasmidfinder,CP011611,RepA_1_pKPC-CAV1321_CP011611,
DRR236553,NODE_13_length_130929_cov_28.034881,34112,34741,+,IncHI2A_1,1-630/630,===============,0/0,100.00,99.52,plasmidfinder,BX664015,IncHI2A_1__BX664015,
DRR236553,NODE_21_length_58779_cov_38.783751,55609,56105,-,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236553,NODE_49_length_5060_cov_42.264136,2113,2794,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236554,NODE_22_length_60391_cov_170.842035,4287,4783,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236554,NODE_46_length_5342_cov_193.786079,2395,3076,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236555,NODE_23_length_60391_cov_257.100819,4287,4783,+,IncFIC(FII)_1,1-499/499,========/======,1/2,99.60,93.79,plasmidfinder,AP001918,IncFIC(FII)_1__AP001918,
DRR236555,NODE_46_length_5342_cov_295.170040,2395,3076,+,IncFIB(AP001918)_1,1-682/682,===============,0/0,100.00,97.65,plasmidfinder,AP001918,IncFIB(AP001918)_1__AP001918,
DRR236562,NODE_42_length_3885_cov_4323.732898,3117,3226,-,Col440I_1,1-110/114,===============,0/0,96.49,90.91,plasmidfinder,CP023920.1,Col440I_1__CP023920.1,
DRR236568,NODE_12_length_148442_cov_44.409652,71546,72085,-,IncHI1B(R27)_1_R27,1-540/540,===============,0/0,100.00,100.00,plasmidfinder,AF250878,IncHI1B(R27)_1_R27_AF250878,
DRR236568,NODE_12_length_148442_cov_44.409652,85162,85581,+,IncHI1A_1,1-420/420,===============,0/0,100.00,99.76,plasmidfinder,AF250878,IncHI1A_1__AF250878,
DRR236568,NODE_39_length_6814_cov_397.464122,419,549,-,ColRNAI_1,1-130/130,========/======,1/1,100.00,87.79,plasmidfinder,DQ298019,ColRNAI_1__DQ298019,
DRR236568,NODE_52_length_3885_cov_955.249347,1669,1778,-,Col440I_1,1-110/114,===============,0/0,96.49,90.91,plasmidfinder,CP023920.1,Col440I_1__CP023920.1,
DRR236568,NODE_68_length_1652_cov_38.175329,481,868,+,IncFIA(HI1)_1_HI1,1-388/388,===============,0/0,100.00,100.00,plasmidfinder,AF250878,IncFIA(HI1)_1_HI1_AF250878,
DRR236569,NODE_12_length_148434_cov_61.103060,62854,63273,-,IncHI1A_1,1-420/420,===============,0/0,100.00,99.76,plasmidfinder,AF250878,IncHI1A_1__AF250878,
DRR236569,NODE_12_length_148434_cov_61.103060,76350,76889,+,IncHI1B(R27)_1_R27,1-540/540,===============,0/0,100.00,100.00,plasmidfinder,AF250878,IncHI1B(R27)_1_R27_AF250878,
