"","id","Isolation source","Year","Source","Continent"
"118","SRR1960185","human","2015","Clinical","Europe"
"119","SRR1960187","human","2015","Clinical","Europe"
"120","SRR1960189","human","2015","Clinical","Europe"
"121","SRR1960212","human","2015","Clinical","Europe"
"122","SRR1960285","human","2015","Clinical","Europe"
"123","SRR1960311","human","2015","Clinical","Europe"
"124","SRR1960315","human","2015","Clinical","Europe"
"125","SRR1960321","human","2015","Clinical","Europe"
"126","SRR1960358","human","2015","Clinical","Europe"
"127","SRR1960687","human","2015","Clinical","Europe"
"128","SRR1960902","human","2015","Clinical","Europe"
"129","SRR1960985","human","2015","Clinical","Europe"
"130","SRR1963070","human","2015","Clinical","Europe"
"131","SRR1963199","human","2015","Clinical","Europe"
"132","SRR1963225","human","2015","Clinical","Europe"
"133","SRR1963276","human","2015","Clinical","Europe"
"134","SRR1963313","human","2015","Clinical","Europe"
"135","SRR1963327","human","2015","Clinical","Europe"
"136","SRR1963356","human","2015","Clinical","Europe"
"137","SRR1963461","human","2015","Clinical","Europe"
"138","SRR1963491","human","2015","Clinical","Europe"
"139","SRR1963514","human","2015","Clinical","Europe"
"140","SRR1963542","human","2015","Clinical","Europe"
"141","SRR1965092","human","2015","Clinical","Europe"
"142","SRR1965099","human","2015","Clinical","Europe"
"143","SRR1965124","human","2015","Clinical","Europe"
"144","SRR1965137","human","2015","Clinical","Europe"
"145","SRR1965199","human","2015","Clinical","Europe"
"146","SRR1965245","human","2015","Clinical","Europe"
"147","SRR1965328","human","2015","Clinical","Europe"
"148","SRR1965358","human","2015","Clinical","Europe"
"149","SRR1965393","human","2015","Clinical","Europe"
"150","SRR1965395","human","2015","Clinical","Europe"
"151","SRR1965418","human","2015","Clinical","Europe"
"152","SRR1965421","human","2015","Clinical","Europe"
"153","SRR1965461","human","2015","Clinical","Europe"
"154","SRR1965469","human","2015","Clinical","Europe"
"155","SRR1965475","human","2015","Clinical","Europe"
"156","SRR1965476","human","2015","Clinical","Europe"
"157","SRR1965627","human","2015","Clinical","Europe"
"158","SRR1965634","human","2015","Clinical","Europe"
"159","SRR1965659","human","2015","Clinical","Europe"
"160","SRR1965768","human","2015","Clinical","Europe"
"161","SRR1965771","human","2015","Clinical","Europe"
"162","SRR1965802","human","2015","Clinical","Europe"
"163","SRR1965821","human","2015","Clinical","Europe"
"164","SRR1965832","human","2015","Clinical","Europe"
"165","SRR1965836","human","2015","Clinical","Europe"
"166","SRR1965858","human","2015","Clinical","Europe"
"167","SRR1965898","human","2015","Clinical","Europe"
"168","SRR1965928","human","2015","Clinical","Europe"
"169","SRR1965941","human","2015","Clinical","Europe"
"170","SRR1965942","human","2015","Clinical","Europe"
"171","SRR1965965","human","2015","Clinical","Europe"
"172","SRR1965971","food","2015","Environmental/Others","Europe"
"173","SRR1966044","human","2015","Clinical","Europe"
"174","SRR1966099","human","2015","Clinical","Europe"
"175","SRR1966149","human","2015","Clinical","Europe"
"176","SRR1966155","human","2015","Clinical","Europe"
"177","SRR1966180","human","2015","Clinical","Europe"
"178","SRR1966181","human","2015","Clinical","Europe"
"179","SRR1966185","human","2015","Clinical","Europe"
"180","SRR1966187","human","2015","Clinical","Europe"
"181","SRR1966189","human","2015","Clinical","Europe"
"182","SRR1966196","human","2015","Clinical","Europe"
"183","SRR1966235","human","2015","Clinical","Europe"
"184","SRR1966239","human","2015","Clinical","Europe"
"185","SRR1966276","human","2015","Clinical","Europe"
"186","SRR1966306","human","2015","Clinical","Europe"
"187","SRR1966328","human","2015","Clinical","Europe"
"188","SRR1966331","human","2015","Clinical","Europe"
"189","SRR1966334","human","2015","Clinical","Europe"
"190","SRR1966342","human","2015","Clinical","Europe"
"191","SRR1966366","human","2015","Clinical","Europe"
"192","SRR1966371","human","2015","Clinical","Europe"
"193","SRR1966414","human","2015","Clinical","Europe"
"194","SRR1966431","human","2015","Clinical","Europe"
"195","SRR1966454","human","2015","Clinical","Europe"
"196","SRR1966459","human","2015","Clinical","Europe"
"197","SRR1966466","human","2015","Clinical","Europe"
"198","SRR1966514","human","2015","Clinical","Europe"
"199","SRR1966614","human","2015","Clinical","Europe"
"200","SRR1966667","human","2015","Clinical","Europe"
"201","SRR1966700","human","2015","Clinical","Europe"
"202","SRR1966773","human","2015","Clinical","Europe"
"203","SRR1966786","human","2015","Clinical","Europe"
"204","SRR1966795","human","2015","Clinical","Europe"
"205","SRR1966817","human","2015","Clinical","Europe"
"206","SRR1966820","human","2015","Clinical","Europe"
"207","SRR1966826","human","2015","Clinical","Europe"
"208","SRR1966834","human","2015","Clinical","Europe"
"209","SRR1966847","human","2015","Clinical","Europe"
"210","SRR1966852","human","2015","Clinical","Europe"
"211","SRR1966862","human","2015","Clinical","Europe"
"212","SRR1966871","food","2015","Environmental/Others","Europe"
"213","SRR1966883","human","2015","Clinical","Europe"
"214","SRR1966887","human","2015","Clinical","Europe"
"215","SRR1966941","human","2015","Clinical","Europe"
"216","SRR1966963","human","2015","Clinical","Europe"
"217","SRR1967114","human","2015","Clinical","Europe"
"218","SRR1967122","human","2015","Clinical","Europe"
"219","SRR1967173","human","2015","Clinical","Europe"
"220","SRR1967188","human","2015","Clinical","Europe"
"221","SRR1967196","human","2015","Clinical","Europe"
"222","SRR1967200","human","2015","Clinical","Europe"
"223","SRR1967212","human","2015","Clinical","Europe"
"224","SRR1967241","human","2015","Clinical","Europe"
"225","SRR1967257","human","2015","Clinical","Europe"
"226","SRR1967276","food","2015","Environmental/Others","Europe"
"227","SRR1967318","human","2015","Clinical","Europe"
"228","SRR1967339","human","2015","Clinical","Europe"
"229","SRR1967409","human","2015","Clinical","Europe"
"230","SRR1967471","human","2015","Clinical","Europe"
"231","SRR1967474","human","2015","Clinical","Europe"
"232","SRR1967488","human","2015","Clinical","Europe"
"233","SRR1967554","human","2015","Clinical","Europe"
"234","SRR1967558","human","2015","Clinical","Europe"
"235","SRR1967561","human","2015","Clinical","Europe"
"236","SRR1967651","human","2015","Clinical","Europe"
"237","SRR1967677","human","2015","Clinical","Europe"
"238","SRR1967679","human","2015","Clinical","Europe"
"239","SRR1967703","human","2015","Clinical","Europe"
"240","SRR1967782","human","2015","Clinical","Europe"
"241","SRR1967810","human","2015","Clinical","Europe"
"242","SRR1967813","food","2015","Environmental/Others","Europe"
"243","SRR1967873","human","2015","Clinical","Europe"
"244","SRR1967893","human","2015","Clinical","Europe"
"245","SRR1968008","human","2015","Clinical","Europe"
"246","SRR1968040","human","2015","Clinical","Europe"
"247","SRR1968057","human","2015","Clinical","Europe"
"248","SRR1968062","human","2015","Clinical","Europe"
"249","SRR1968635","human","2015","Clinical","Europe"
"250","SRR1968643","human","2015","Clinical","Europe"
"251","SRR1968647","human","2015","Clinical","Europe"
"252","SRR1968666","food","2015","Environmental/Others","Europe"
"253","SRR1968669","other","2015","Environmental/Others","Europe"
"254","SRR1968670","human","2015","Clinical","Europe"
"255","SRR1968704","human","2015","Clinical","Europe"
"256","SRR1968716","human","2015","Clinical","Europe"
"257","SRR1968804","human","2015","Clinical","Europe"
"258","SRR1968825","human","2015","Clinical","Europe"
"259","SRR1968877","human","2015","Clinical","Europe"
"260","SRR1968894","human","2015","Clinical","Europe"
"261","SRR1968909","human","2015","Clinical","Europe"
"262","SRR1968944","human","2015","Clinical","Europe"
"263","SRR1968960","human","2015","Clinical","Europe"
"264","SRR1969001","human","2015","Clinical","Europe"
"265","SRR1969008","human","2015","Clinical","Europe"
"266","SRR1969016","human","2015","Clinical","Europe"
"267","SRR1969058","human","2015","Clinical","Europe"
"268","SRR1969059","human","2015","Clinical","Europe"
"269","SRR1969065","human","2015","Clinical","Europe"
"270","SRR1968097","human","2015","Clinical","Europe"
"271","SRR1968099","human","2015","Clinical","Europe"
"272","SRR1968124","human","2015","Clinical","Europe"
"273","SRR1968140","human","2015","Clinical","Europe"
"274","SRR1968149","human","2015","Clinical","Europe"
"275","SRR1968188","food","2015","Environmental/Others","Europe"
"276","SRR1968291","human","2015","Clinical","Europe"
"277","SRR1968308","human","2015","Clinical","Europe"
"278","SRR1968330","human","2015","Clinical","Europe"
"279","SRR1968340","human","2015","Clinical","Europe"
"280","SRR1968376","human","2015","Clinical","Europe"
"281","SRR1968379","human","2015","Clinical","Europe"
"282","SRR1968380","human","2015","Clinical","Europe"
"283","SRR1968397","human","2015","Clinical","Europe"
"284","SRR1968416","human","2015","Clinical","Europe"
"285","SRR1968510","human","2015","Clinical","Europe"
"286","SRR1968549","human","2015","Clinical","Europe"
"287","SRR1969121","food","2015","Environmental/Others","Europe"
"288","SRR1969126","human","2015","Clinical","Europe"
"289","SRR1969145","food","2015","Environmental/Others","Europe"
"290","SRR1969164","human","2015","Clinical","Europe"
"291","SRR1969177","human","2015","Clinical","Europe"
"292","SRR1969180","human","2015","Clinical","Europe"
"293","SRR1969208","human","2015","Clinical","Europe"
"294","SRR1969217","human","2015","Clinical","Europe"
"295","SRR1969237","human","2015","Clinical","Europe"
"296","SRR1969254","human","2015","Clinical","Europe"
"297","SRR1969290","human","2015","Clinical","Europe"
"298","SRR1969308","human","2015","Clinical","Europe"
"299","SRR1969352","human","2015","Clinical","Europe"
"300","SRR1969363","human","2015","Clinical","Europe"
"301","SRR1969381","human","2015","Clinical","Europe"
"302","SRR1969401","human","2015","Clinical","Europe"
"303","SRR1965751","human","2015","Clinical","Europe"
"304","SRR1966049","human","2015","Clinical","Europe"
"305","SRR1969441","human","2015","Clinical","Europe"
"306","SRR1969452","human","2015","Clinical","Europe"
"307","SRR1969456","human","2015","Clinical","Europe"
"308","SRR1969468","human","2015","Clinical","Europe"
"309","SRR1969475","human","2015","Clinical","Europe"
"310","SRR1969497","human","2015","Clinical","Europe"
"311","SRR1969507","human","2015","Clinical","Europe"
"312","SRR1969508","human","2015","Clinical","Europe"
"313","SRR1969518","human","2015","Clinical","Europe"
"314","SRR1969596","human","2015","Clinical","Europe"
"315","SRR1969599","human","2015","Clinical","Europe"
"316","SRR1969602","human","2015","Clinical","Europe"
"317","SRR1969606","human","2015","Clinical","Europe"
"318","SRR1969618","human","2015","Clinical","Europe"
"319","SRR1969662","human","2015","Clinical","Europe"
"320","SRR1969678","human","2015","Clinical","Europe"
"321","SRR1969683","human","2015","Clinical","Europe"
"322","SRR1969703","human","2015","Clinical","Europe"
"323","SRR1969719","human","2015","Clinical","Europe"
"324","SRR1969733","human","2015","Clinical","Europe"
"325","SRR1969847","human","2015","Clinical","Europe"
"326","SRR1969876","human","2015","Clinical","Europe"
"327","SRR1969888","human","2015","Clinical","Europe"
"328","SRR1969910","human","2015","Clinical","Europe"
"329","SRR1970033","human","2015","Clinical","Europe"
"330","SRR1970037","food","2015","Environmental/Others","Europe"
"331","SRR1970041","human","2015","Clinical","Europe"
"332","SRR1970057","human","2015","Clinical","Europe"
"333","SRR1970065","human","2015","Clinical","Europe"
"334","SRR1970091","human","2015","Clinical","Europe"
"335","SRR1970106","human","2015","Clinical","Europe"
"336","SRR1970136","human","2015","Clinical","Europe"
"337","SRR1970250","human","2015","Clinical","Europe"
"338","SRR1970314","human","2015","Clinical","Europe"
"339","SRR2577641","stool","2016","Clinical","North America"
"340","SRR2577640","stool","2016","Clinical","North America"
"341",NA,"food sample","2015","Environmental/Others","Others"
"342","SRR2577642","stool","2016","Clinical","North America"
"343","SRR4124057","stool","2018","Clinical","North America"
"344","SRR4243144","stool","2018","Clinical","North America"
"345",NA,"feces","2015","Clinical","Europe"
"346","ERR769313",NA,"2015","Environmental/Others","Europe"
"347","ERR769322",NA,"2015","Environmental/Others","Europe"
"348","ERR769329",NA,"2015","Environmental/Others","Europe"
"349","ERR769344",NA,"2015","Environmental/Others","Europe"
"350","SRR2961914","Comminuted Turkey","2015","Environmental/Others","North America"
"351","SRR2973725","animal-cattle-dairy cow","2015","Environmental/Others","North America"
"352","SRR2989210","animal-swine-market swine","2015","Environmental/Others","North America"
"353","SRR3048518","human","2015","Clinical","Europe"
"354","SRR3048557","human","2015","Clinical","Europe"
"355","SRR3048695","human","2015","Clinical","Europe"
"356","SRR3048757","human","2015","Clinical","Europe"
"357","SRR3048932","human","2015","Clinical","Europe"
"358","SRR3048985","human","2015","Clinical","Europe"
"359","SRR3048988","human","2015","Clinical","Europe"
"360","SRR3049032","human","2015","Clinical","Europe"
"361","SRR3049041","human","2015","Clinical","Europe"
"362","SRR3049084","human","2015","Clinical","Europe"
"363","SRR3049127","human","2015","Clinical","Europe"
"364","SRR3049151","human","2015","Clinical","Europe"
"365","SRR3049186","human","2015","Clinical","Europe"
"366","SRR3049188","human","2015","Clinical","Europe"
"367","SRR3049197","human","2015","Clinical","Europe"
"368","SRR3049201","human","2015","Clinical","Europe"
"369","SRR3049280","human","2015","Clinical","Europe"
"370","SRR3049281","human","2015","Clinical","Europe"
"371","SRR3049283","human","2015","Clinical","Europe"
"372","SRR3049343","human","2015","Clinical","Europe"
"373","SRR3049350","human","2015","Clinical","Europe"
"374","SRR3049385","human","2015","Clinical","Europe"
"375","SRR3049401","human","2015","Clinical","Europe"
"376","SRR3049454","human","2015","Clinical","Europe"
"377","SRR3049457","human","2015","Clinical","Europe"
"378","SRR3049466","human","2015","Clinical","Europe"
"379","SRR3049472","human","2015","Clinical","Europe"
"380","SRR3049482","human","2015","Clinical","Europe"
"381","SRR3049535","human","2015","Clinical","Europe"
"382","SRR3049555","human","2015","Clinical","Europe"
"383","SRR3049575","human","2015","Clinical","Europe"
"384","SRR3049660","human","2015","Clinical","Europe"
"385","SRR3049727","human","2015","Clinical","Europe"
"386","SRR3049754","human","2015","Clinical","Europe"
"387","SRR3049809","human","2015","Clinical","Europe"
"388","SRR3049831","human","2015","Clinical","Europe"
"389","SRR3049875","human","2015","Clinical","Europe"
"390","SRR3049889","human","2015","Clinical","Europe"
"391","SRR3049890","human","2015","Clinical","Europe"
"392","SRR3049929","human","2015","Clinical","Europe"
"393","SRR3049935","human","2015","Clinical","Europe"
"394","SRR3049946","human","2015","Clinical","Europe"
"395","SRR3049975","human","2015","Clinical","Europe"
"396","SRR5573122","clinical sample","2015","Clinical","North America"
"397","SRR3664727","pork chop","2015","Environmental/Others","North America"
"398","SRR3062674","animal-swine-market swine","2015","Environmental/Others","North America"
"399","SRR3062675","animal-cattle-dairy cow","2015","Environmental/Others","North America"
"400","SRR3106222","comminuted beef","2016","Environmental/Others","North America"
"401",NA,"intestine (Sus scrofa)","2016","Environmental/Others","North America"
"402","SRR3120734","human","2016","Clinical","Europe"
"403","ERR985368",NA,"2016","Environmental/Others","Others"
"404","SRR3159935","animal-cattle-dairy cow","2016","Environmental/Others","North America"
"405","SRR3184114","animal-swine-market swine","2016","Environmental/Others","North America"
"406","SRR3185218","stool","2016","Clinical","North America"
"407","SRR3284591","animal-swine-market swine","2016","Environmental/Others","North America"
"408","SRR3284711","human","2016","Clinical","Europe"
"409","SRR3284725","human","2016","Clinical","Europe"
"410","SRR3284739","human","2016","Clinical","Europe"
"411","SRR3284741","human","2016","Clinical","Europe"
"412","SRR3284744","human","2016","Clinical","Europe"
"413","SRR3284748","other","2016","Environmental/Others","Europe"
"414","SRR3284758","human","2016","Clinical","Europe"
"415","SRR3284765","human","2016","Clinical","Europe"
"416","SRR3284778","human","2016","Clinical","Europe"
"417","SRR3284780","Enviromental","2016","Environmental/Others","Europe"
"418","SRR3284809","human","2016","Clinical","Europe"
"419","SRR3284812","human","2016","Clinical","Europe"
"420","SRR3284819","Enviromental","2016","Environmental/Others","Europe"
"421","SRR3284831","human","2016","Clinical","Europe"
"422","SRR3284834","human","2016","Clinical","Europe"
"423","SRR3284845","human","2016","Clinical","Europe"
"424","SRR3285055","human","2016","Clinical","Europe"
"425","SRR3285252","human","2016","Clinical","Europe"
"426","SRR3285356","food","2016","Environmental/Others","Europe"
"427","SRR3285358","human","2016","Clinical","Europe"
"428","SRR3285360","human","2016","Clinical","Europe"
"429","SRR3285376","human","2016","Clinical","Europe"
"430","SRR3285383","human","2016","Clinical","Europe"
"431","SRR3285400","human","2016","Clinical","Europe"
"432","SRR3285414","Enviromental","2016","Environmental/Others","Europe"
"433","SRR3285419","human","2016","Clinical","Europe"
"434","SRR3285421","human","2016","Clinical","Europe"
"435","SRR3285426","human","2016","Clinical","Europe"
"436","SRR3285427","human","2016","Clinical","Europe"
"437","SRR3285432","human","2016","Clinical","Europe"
"438","SRR3285446","human","2016","Clinical","Europe"
"439","SRR3285454","Enviromental","2016","Environmental/Others","Europe"
"440","SRR3285458","human","2016","Clinical","Europe"
"441","SRR3285473","human","2016","Clinical","Europe"
"442","SRR3285478","human","2016","Clinical","Europe"
"443","SRR3285487","human","2016","Clinical","Europe"
"444","SRR3285491","human","2016","Clinical","Europe"
"445","SRR3286580","human","2016","Clinical","Europe"
"446","SRR3286591","human","2016","Clinical","Europe"
"447","SRR3286600","human","2016","Clinical","Europe"
"448","SRR3286604","human","2016","Clinical","Europe"
"449","SRR3286631","human","2016","Clinical","Europe"
"450","SRR3286634","food","2016","Environmental/Others","Europe"
"451","SRR3286664","human","2016","Clinical","Europe"
"452","SRR3286676","human","2016","Clinical","Europe"
"453","SRR3286683","food","2016","Environmental/Others","Europe"
"454","SRR3286696","human","2016","Clinical","Europe"
"455","SRR3286703","human","2016","Clinical","Europe"
"456","SRR3286706","food","2016","Environmental/Others","Europe"
"457","SRR3286727","human","2016","Clinical","Europe"
"458","SRR3286729","human","2016","Clinical","Europe"
"459","SRR3286899","human","2016","Clinical","Europe"
"460","SRR3286904","human","2016","Clinical","Europe"
"461","SRR3286925","human","2016","Clinical","Europe"
"462","SRR3286926","human","2016","Clinical","Europe"
"463","SRR3286950","human","2016","Clinical","Europe"
"464","SRR3286958","human","2016","Clinical","Europe"
"465","SRR3286969","human","2016","Clinical","Europe"
"466","SRR3295631","Hogs","2016","Environmental/Others","North America"
"467","SRR3295666","Hogs","2016","Environmental/Others","North America"
"468","SRR3295938","animal-swine-sow","2016","Environmental/Others","North America"
"469","SRR3322997","animal-swine-market swine","2016","Environmental/Others","North America"
"470","SRR3321854","human","2016","Clinical","Europe"
"471","SRR3321855","human","2016","Clinical","Europe"
"472","SRR3321997","human","2016","Clinical","Europe"
"473","SRR3322022","human","2016","Clinical","Europe"
"474","SRR3322111","human","2016","Clinical","Europe"
"475","SRR3322122","human","2016","Clinical","Europe"
"476","SRR3322273","human","2016","Clinical","Europe"
"477","SRR3322319","human","2016","Clinical","Europe"
"478","SRR3322321","human","2016","Clinical","Europe"
"479","SRR3322329","human","2016","Clinical","Europe"
"480","SRR3322353","human","2016","Clinical","Europe"
"481","SRR3322382","human","2016","Clinical","Europe"
"482","SRR3322396","human","2016","Clinical","Europe"
"483","SRR3322408","human","2016","Clinical","Europe"
"484","SRR3322411","human","2016","Clinical","Europe"
"485","SRR3322417","human","2016","Clinical","Europe"
"486","SRR3322420","human","2016","Clinical","Europe"
"487","SRR3322622","human","2016","Clinical","Europe"
"488","SRR3322643","food","2016","Environmental/Others","Europe"
"489","SRR3322644","human","2016","Clinical","Europe"
"490","SRR3322653","human","2016","Clinical","Europe"
"491","SRR3322666","human","2016","Clinical","Europe"
"492","SRR3322676","human","2016","Clinical","Europe"
"493","SRR3322722","human","2016","Clinical","Europe"
"494","SRR3322724","human","2016","Clinical","Europe"
"495","SRR3322858","human","2016","Clinical","Europe"
"496","SRR3322959","human","2016","Clinical","Europe"
"497","SRR3322986","human","2016","Clinical","Europe"
"498","SRR3322989","human","2016","Clinical","Europe"
"499","SRR3323008","human","2016","Clinical","Europe"
"500","SRR3323010","human","2016","Clinical","Europe"
"501","SRR3323043","human","2016","Clinical","Europe"
"502","SRR3323045","human","2016","Clinical","Europe"
"503","SRR3323047","human","2016","Clinical","Europe"
"504","ERR277231",NA,"2016","Environmental/Others","Others"
"505","SRR3394949","feces (Sus scrofa)","2016","Environmental/Others","South America"
"506","SRR3394950","feces (Gallus gallus domesticus)","2016","Environmental/Others","South America"
"507","SRR3394959","feces (Gallus gallus domesticus)","2016","Environmental/Others","South America"
"508","SRR3394960","feces (Anas platyrhynchos domesticus)","2016","Environmental/Others","South America"
"509","SRR3465404","pork","2016","Environmental/Others","Asia"
"510","SRR3606946","intestine (Bos taurus)","2016","Environmental/Others","North America"
"511","SRR3743910","stool","2016","Clinical","North America"
"512","SRR3897954","stool","2016","Clinical","North America"
"513","SRR3930408","stool","2016","Clinical","North America"
"514","SRR4100146",NA,"2016","Clinical","North America"
"515","SRR4176772","stool","2016","Clinical","North America"
"516","SRR4190244","stool","2016","Clinical","North America"
"517","SRR4228277","Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork","2016","Environmental/Others","North America"
"518","SRR4295150","stool","2016","Clinical","North America"
"519","SRR4434216","animal-swine-market swine","2016","Environmental/Others","North America"
"520","SRR4450031","stool","2016","Clinical","North America"
"521","SRR4450037","stool","2016","Clinical","North America"
"522","SRR4896300",NA,"2016","Clinical","North America"
"523","SRR4044560",NA,"2016","Clinical","North America"
"524","SRR4044575",NA,"2016","Clinical","North America"
"525","SRR4044391",NA,"2016","Clinical","North America"
"526","SRR4449950",NA,"2016","Clinical","North America"
"527","SRR5057221","stool","2016","Clinical","North America"
"528","SRR5091852","animal-cattle-dairy cow","2016","Environmental/Others","North America"
"529","SRR5110779","stool","2016","Clinical","North America"
"530","SRR5125981","stool","2016","Clinical","North America"
"531","SRR5163885","stool","2017","Clinical","North America"
"532","SRR5193155","human","2017","Clinical","Europe"
"533","SRR5193205","human","2017","Clinical","Europe"
"534","SRR5193416","human","2017","Clinical","Europe"
"535","SRR5193526","human","2017","Clinical","Europe"
"536","SRR5193543","human","2017","Clinical","Europe"
"537","SRR5193586","human","2017","Clinical","Europe"
"538","SRR5193627","human","2017","Clinical","Europe"
"539","SRR5193673","human","2017","Clinical","Europe"
"540","SRR5193682","human","2017","Clinical","Europe"
"541","SRR5193904","human","2017","Clinical","Europe"
