FILE,SCHEME,ST,aroC,dnaN,hemD,hisD,purE,sucA,thrA
DRR236468,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236469,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236470,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236471,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236472,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236473,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236474,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236475,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236476,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236477,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236478,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236480,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236481,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236482,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236483,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236484,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236485,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236486,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236487,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236488,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236489,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236490,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236491,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236492,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236493,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236494,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236495,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236496,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236497,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236498,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236499,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236500,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236501,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236505,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236506,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236507,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236508,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236510,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236511,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236512,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236513,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236514,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236515,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236516,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236517,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236523,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236524,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236525,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236526,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236527,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236528,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236529,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236530,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236532,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236535,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236536,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236538,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236540,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236541,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236542,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236543,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236544,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236545,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236547,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236548,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236550,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236552,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236553,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236554,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236555,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236556,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236558,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236560,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236562,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236567,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236568,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236569,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236570,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236571,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236572,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236573,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236574,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236575,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236576,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236577,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236578,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236579,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236580,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236581,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236582,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236583,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236584,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR236585,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452350,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452352,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452353,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452354,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452355,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452358,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452360,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452361,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452362,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452363,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452373,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452375,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452380,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452381,senterica_achtman_2,34,10,19,12,9,5,9,2
DRR452386,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024391,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR024952,senterica_achtman_2,-,-,-,-,-,-,-,-
ERR024956,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR028282,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10105988,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10109266,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR10880294,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540284,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540296,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540298,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540303,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540324,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540334,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540342,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540344,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540345,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540362,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540388,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540391,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540401,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540405,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540410,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540420,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540423,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540426,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540429,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540431,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540432,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540435,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540436,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540441,senterica_achtman_2,4067,10,19,12,941,5,9,2
ERR1540443,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540445,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540447,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540448,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540449,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540450,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540452,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540455,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540456,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540460,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540461,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540468,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540469,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540482,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540487,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540497,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540512,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540523,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540529,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540531,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540532,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540548,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540555,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540560,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540563,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540564,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540571,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540574,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540575,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540580,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540581,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540586,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540592,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540593,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540599,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540605,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540606,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540616,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540617,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540619,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540623,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540625,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540626,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540629,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540630,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540633,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1540634,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1558652,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1558653,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1558654,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1558655,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590173,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590177,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590179,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590181,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1590194,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592382,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592383,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592402,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592406,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592424,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592429,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592457,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592474,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592475,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592481,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592482,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592496,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592499,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592508,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592525,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592529,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592533,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592535,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592536,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592540,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592544,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592548,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592550,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592554,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592567,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592593,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592594,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592595,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592596,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592605,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592607,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1592612,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR160949,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744960,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744961,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744962,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744963,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744964,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744965,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744966,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744967,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744968,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744969,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744970,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1744971,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1797554,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1802048,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1802428,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1802443,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1802489,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1806841,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1806844,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1806850,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1815670,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1815682,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1815745,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1815748,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1816624,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1816626,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1816686,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1817146,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1817523,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1818147,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1818151,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1823522,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1823825,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1823828,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1824172,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1824173,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1828948,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1837626,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1857448,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR1890404,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000330,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000335,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000336,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000340,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000345,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000348,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000350,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000352,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000354,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000355,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000356,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000357,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000358,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000359,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000364,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000365,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000369,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000370,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000371,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000372,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000373,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000374,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000375,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000376,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000378,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000380,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000381,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000382,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000385,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000387,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000388,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000389,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000390,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000391,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000392,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000394,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000395,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000396,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000397,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000398,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000399,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000401,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000402,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000407,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000408,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000409,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000410,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000411,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000412,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000413,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000414,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000415,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2000417,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008115,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008123,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008159,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008162,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2008169,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2020715,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023513,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023514,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023525,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023532,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023533,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023540,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023550,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023557,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023570,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023573,senterica_achtman_2,4067,10,19,12,941,5,9,2
ERR2023577,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2023579,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2116065,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2116069,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2116715,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136505,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136506,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136507,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136508,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136511,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136513,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136514,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136516,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136517,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136518,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136519,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136522,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136523,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136524,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136527,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136529,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136530,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2136538,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2173690,senterica_achtman_2,34,10,19,12,9,5,9,2
ERR2177185,senterica_achtman_2,34,10,19,12,9,5,9,2
