,id,Serovar,ST,Country,Source,aptA,bla,cph2,cusF,dam_1,dcm_2,dinI_1,dnaC_2,flxA,folP_2,glfT2,gltJ,gltS_2,hin,hxlA,hxlB,iolG_3,lexA_2,lolE,merA,merC,merP,merT,neo,oadA_1,pgiA,ptsG_2,repA,rpsK,rpsT,rrrD,sopE,srlB_2,srlE_2,ssb_2,sspH2,tetA_2,tetC,tetR,tnpR,tnsB,tolA,xerC_1,xerD_3,yafO,ybfF,ybiT,ylcG_2,yqjZ
13,SRR10232117,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
14,SRR10254180,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
15,SRR10254231,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
16,SRR10270606,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
17,SRR10313697,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1
18,SRR10337396,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1
19,SRR10337401,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
20,SRR10350938,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0
21,SRR10360793,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,SRR10360801,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1
23,SRR10393112,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1
24,SRR10420549,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
25,SRR10513404,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,SRR10519607,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,SRR10580040,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
28,SRR10693172,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0
29,SRR10843958,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
30,SRR10871105,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1
31,SRR10871123,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0
32,SRR10981272,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
33,SRR11142732,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0
34,SRR11362213,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0
35,SRR11363467,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
36,SRR11364977,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
37,SRR11410103,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
38,SRR11410175,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0
39,SRR11410459,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
40,SRR11607150,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
41,SRR11657207,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,SRR11676253,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1
43,SRR11741534,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
44,SRR11791575,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
45,SRR11827210,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,SRR11827216,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
47,SRR11827240,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0
48,SRR11927758,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
49,SRR12039181,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
50,SRR12076594,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1
51,SRR12144671,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
52,SRR12168714,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
53,SRR12200435,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1
54,SRR12251721,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
55,SRR12282317,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
56,SRR12282360,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,SRR12323753,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1
58,SRR12416116,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,SRR12455311,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
60,SRR12486556,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
61,SRR12515689,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0
62,SRR12515713,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0
63,SRR12610954,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
64,SRR12626281,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
65,SRR12626297,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
66,SRR12626312,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
67,SRR12655751,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,SRR12655786,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,SRR12694609,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
70,SRR12707646,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
71,SRR12768427,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
72,SRR12770152,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
73,SRR12770166,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
74,SRR12770270,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0
75,SRR12775692,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
76,SRR12775703,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,SRR12806930,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,SRR12826363,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
79,SRR12826918,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
80,SRR12826957,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
81,SRR12887411,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
82,SRR12916515,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
83,SRR12916551,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1
84,SRR12982330,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1
85,SRR13008648,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
86,SRR13058114,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
87,SRR13058141,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0
88,SRR13061489,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,SRR13128522,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
90,SRR13159551,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
91,SRR13200045,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
92,SRR13202536,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
93,SRR13202538,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
94,SRR13290185,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
95,SRR13308455,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
96,SRR13332538,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1
97,SRR13362214,"I 1,4,[5],12:i:-",ST34,United Kingdom,Human,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
