#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	Min-same	Min-diff	BioSample	Assembly	Computed types
Salmonella enterica	FSIS12217407	"FSIS12217407","SRS15854494"	Salmonella enterica subsp. enterica serovar I 4,[5],12:i:-	PDT001496613.1	2022-11-23T23:43:23Z	USA:NE	Animal-Swine-Market Swine (cecal)	environmental/other	14	8	SAMN31854477		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS318730	"PNUSAS318730","SRS15854881"		PDT001496681.1	2022-11-23T23:43:34Z			clinical	0	9	SAMN31854861	GCA_026370215.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	22WA11PC02-S1	"22WA11PC02-S1","SRS15856529"		PDT001496812.1	2022-11-24T04:41:21Z	USA:WA	Pork	environmental/other	15	7	SAMN31855710	GCA_026369635.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS318852	"PNUSAS318852","SRS15867363"	I 4,[5],12:i:-	PDT001500681.1	2022-11-26T03:40:48Z	USA		clinical	5	7	SAMN31874775		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS318846	"PNUSAS318846","SRS15867369"	I 4,[5],12:i:-	PDT001500687.1	2022-11-26T05:42:22Z	USA		clinical	0	30	SAMN31874779		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319005	"PNUSAS319005","SRS15881782"		PDT001502972.1	2022-11-28T18:41:23Z			clinical	0	22	SAMN31891935	GCA_026472785.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	1121941001	"1121941001","PNUSAS319074","SRS15886815"		PDT001503096.1	2022-11-28T21:45:28Z			clinical	1	9	SAMN31896507	GCA_026479265.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319214	"PNUSAS319214","SRS15887001"		PDT001503107.1	2022-11-28T22:40:26Z	USA		clinical	1	1	SAMN31896573	GCA_026483305.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319222	"PNUSAS319222","SRS15887314"		PDT001503711.1	2022-11-29T00:35:51Z	USA		clinical	1	13	SAMN31896962	GCA_026485685.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	FSIS22210923	"FSIS22210923","SRS15887479"	Salmonella enterica subsp. enterica serovar 4,[5],12:i:-	PDT001503757.1	2022-11-29T02:34:47Z	USA:NC	Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork	environmental/other	6	1	SAMN31897120	GCA_026484825.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319279	"PNUSAS319279","SRS15888522"		PDT001503775.1	2022-11-29T02:34:51Z	USA		clinical	0	0	SAMN31898169	GCA_026484385.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	1768186	"1768186","1768186.biosample","SRS15887016"	Salmonella Typhimurium - monophasic	PDT001503848.1	2022-11-29T06:34:09Z	United Kingdom: United Kingdom	human	clinical	0	8	SAMN31896605		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	1765050	"1765050","1765050.biosample","SRS15887097"	Salmonella Typhimurium - monophasic	PDT001503897.1	2022-11-29T06:34:18Z	United Kingdom: United Kingdom	human	clinical	21	21	SAMN31896676		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	1765011	"1765011","1765011.biosample","SRS15887146"	Salmonella Typhimurium - monophasic	PDT001503929.1	2022-11-29T06:34:24Z	United Kingdom: United Kingdom	human	clinical	0	8	SAMN31896709		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	1769866	"1769866","1769866.biosample","SRS15887149"	Salmonella Typhimurium - monophasic	PDT001503932.1	2022-11-29T06:34:24Z	United Kingdom: United Kingdom	human	clinical	5	23	SAMN31896718		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	1771053	"1771053","1771053.biosample","SRS15887174"	Salmonella Typhimurium - monophasic	PDT001503957.1	2022-11-29T06:34:29Z	United Kingdom: United Kingdom	human	clinical	5	15	SAMN31896728		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	1771066	"1771066","1771066.biosample","SRS15887177"	Salmonella Typhimurium - monophasic	PDT001503959.1	2022-11-29T06:34:29Z	United Kingdom: United Kingdom	human	clinical	1	18	SAMN31896742		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	1768279	"1768279","1768279.biosample","SRS15887242"	Salmonella Typhimurium - monophasic	PDT001504003.1	2022-11-29T06:34:38Z	United Kingdom: United Kingdom	human	clinical	0	8	SAMN31896800		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	1764980	"1764980","1764980.biosample","SRS15887247"	Salmonella Typhimurium - monophasic	PDT001504008.1	2022-11-29T06:34:39Z	United Kingdom: United Kingdom	human	clinical	7	34	SAMN31896796		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319119	"PNUSAS319119","SRS15894303"		PDT001504020.1	2022-11-29T16:39:14Z			clinical	0	17	SAMN31925219	GCA_026524815.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319356	"PNUSAS319356","SRS15895614"		PDT001504591.1	2022-11-29T17:46:56Z	USA		clinical	22	21	SAMN31926436	GCA_026515725.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319460	"PNUSAS319460","SRS15900353"		PDT001505216.1	2022-11-30T00:35:49Z			clinical	1	8	SAMN31931059	GCA_026533955.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	22VA10PC12-L-S2	"22VA10PC12-L-S2","SRS15909957"		PDT001505392.1	2022-11-30T15:46:03Z	USA:VA	Ground Pork	environmental/other	1	9	SAMN31715254	GCA_026547345.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	22VA10PC12-L-S1	"22VA10PC12-L-S1","SRS15909956"		PDT001505393.1	2022-11-30T15:46:03Z	USA:VA	Ground Pork	environmental/other	1	10	SAMN31715253	GCA_026547365.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319510	"PNUSAS319510","SRS15917495"		PDT001505606.1	2022-11-30T21:37:30Z			clinical	5	7	SAMN31948479	GCA_026552335.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319598	"PNUSAS319598","SRS15926286"		PDT001507068.1	2022-12-01T15:55:34Z	USA		clinical	0	25	SAMN31968760	GCA_026572615.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319669	"PNUSAS319669","SRS15926535"		PDT001507099.1	2022-12-01T18:53:41Z	USA		clinical	0	1	SAMN31970058	GCA_026578045.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	FSIS22210908	"FSIS22210908","SRS15930581"	Salmonella enterica subsp. enterica serovar 4,[5],12:i:-	PDT001507328.1	2022-12-01T20:49:00Z	USA:IL	Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork	environmental/other	2	10	SAMN31974130	GCA_026578805.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319733	"PNUSAS319733","SRS15932380"		PDT001507370.1	2022-12-01T20:49:07Z	USA		clinical	1	11	SAMN31974966	GCA_026578905.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319782	"PNUSAS319782","SRS15932437"	I 4:i:-	PDT001507396.1	2022-12-01T20:49:10Z			clinical	1	3	SAMN31975137		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319882	"PNUSAS319882","SRS15934688"	I 4:i:-	PDT001508373.1	2022-12-02T00:49:53Z	USA		clinical	0	0	SAMN31977382		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319906	"PNUSAS319906","SRS15934819"	I 4:i:-	PDT001508382.1	2022-12-02T00:49:55Z	USA		clinical	2	4	SAMN31978152		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	FSIS32208235	"FSIS32208235","SRS15935732"	Salmonella enterica subsp. enterica serovar 4,[5],12:i:-	PDT001508405.1	2022-12-02T02:47:59Z	USA:IA	Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork	environmental/other	0	1	SAMN31979407	GCA_026581965.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319953	"PNUSAS319953","SRS15944783"		PDT001509517.1	2022-12-02T18:40:37Z	USA		clinical	1	4	SAMN31997305	GCA_026608335.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319956	"PNUSAS319956","SRS15944789"		PDT001509523.1	2022-12-02T18:40:38Z	USA		clinical	15	14	SAMN31997312	GCA_026606595.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319940	"PNUSAS319940","SRS15944973"		PDT001509535.1	2022-12-02T18:40:41Z	USA		clinical	0	5	SAMN31997307	GCA_026606455.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	FSIS12217654	"FSIS12217654","SRS15945160"	Salmonella enterica subsp. enterica serovar I4,[5],12:i-	PDT001509555.1	2022-12-02T19:43:00Z	USA:IA	Animal-Swine-Market Swine (cecal)	environmental/other	10	10	SAMN31997652		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	FSIS12217659	"FSIS12217659","SRS15945164"	Salmonella enterica subsp. enterica serovar I4,[5],12:i-	PDT001509559.1	2022-12-02T19:43:01Z	USA:SD	Animal-Swine-Market Swine (cecal)	environmental/other	9	8	SAMN31997658		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS319977	"PNUSAS319977","SRS15946260"		PDT001509574.1	2022-12-02T19:43:03Z			clinical	10	10	SAMN32000428	GCA_026610015.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320048	"PNUSAS320048","SRS15948040"	I 4:i:-	PDT001509701.1	2022-12-02T22:44:56Z			clinical	3	4	SAMN32009865		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS318458	"PNUSAS318458","SRS15950713"		PDT001510577.1	2022-12-03T03:37:57Z			clinical	0	7	SAMN32011844	GCA_026649205.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS318461	"PNUSAS318461","SRS15950722"		PDT001510586.1	2022-12-03T03:37:58Z			clinical	1	7	SAMN32011849	GCA_028156105.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS318455	"PNUSAS318455","SRS15950734"		PDT001510598.1	2022-12-03T03:38:01Z			clinical	0	5	SAMN32011860	GCA_026648855.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	1774222	"1774222","1774222.biosample","SRS15948009"	Salmonella Typhimurium - monophasic	PDT001510644.1	2022-12-03T06:35:36Z	United Kingdom: United Kingdom	animal	environmental/other	28	27	SAMN32009655		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	1774223	"1774223","1774223.biosample","SRS15948015"	Salmonella Typhimurium - monophasic	PDT001510647.1	2022-12-03T06:35:36Z	United Kingdom: United Kingdom	animal	environmental/other	16	15	SAMN32009645		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320161	"PNUSAS320161","SRS15961850"		PDT001512573.1	2022-12-05T16:11:40Z	USA		clinical	11	5	SAMN32040554	GCA_026656745.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320157	"PNUSAS320157","SRS15961855"		PDT001512578.1	2022-12-05T16:11:42Z	USA		clinical	5	11	SAMN32040548	GCA_026656665.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320166	"PNUSAS320166","SRS15961859"		PDT001512582.1	2022-12-05T16:11:45Z	USA		clinical	9	9	SAMN32040559	GCA_026656645.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320175	"PNUSAS320175","SRS15961963"		PDT001512592.1	2022-12-05T16:11:47Z			clinical	19	17	SAMN32040581	GCA_026656385.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320209	"PNUSAS320209","SRS15962459"	I 4:i:-	PDT001512636.1	2022-12-05T17:34:44Z			clinical	16	18	SAMN32041300		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	FSIS12217945	"FSIS12217945","SRS15969848"	Salmonella enterica subsp. enterica serovar I 4,[5],12:i:-	PDT001513025.1	2022-12-05T20:47:14Z	USA:WI	Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork	environmental/other	8	12	SAMN32052461		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	FSIS12217942	"FSIS12217942","SRS15969859"	Salmonella enterica subsp. enterica serovar I 4,[5],12:i:-	PDT001513027.1	2022-12-05T20:47:14Z	USA:WI	Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork	environmental/other	8	0	SAMN32052458		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320320	"PNUSAS320320","SRS15969936"		PDT001513031.1	2022-12-05T20:47:15Z			clinical	7	6	SAMN32053521	GCA_026668395.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320377	"PNUSAS320377","SRS15970355"		PDT001513087.1	2022-12-05T21:45:44Z			clinical	0	4	SAMN32058013	GCA_026691985.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320124	"PNUSAS320124","SRS15970643"		PDT001513857.1	2022-12-05T23:45:10Z			clinical	1	11	SAMN32058352	GCA_026680255.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320506	"PNUSAS320506","SRS15974728"		PDT001513942.1	2022-12-06T03:48:09Z			clinical	1	11	SAMN32062832	GCA_026678475.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320504	"PNUSAS320504","SRS15974735"		PDT001513949.1	2022-12-06T03:48:10Z			clinical	10	9	SAMN32062829	GCA_026678335.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320515	"PNUSAS320515","SRS15974942"		PDT001513975.1	2022-12-06T03:48:15Z			clinical	1	9	SAMN32062845	GCA_026677825.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	1778617	"1778617","1778617.biosample","SRS15970801"	Salmonella Typhimurium - monophasic	PDT001514089.1	2022-12-06T06:42:36Z	United Kingdom: United Kingdom	human	clinical	0	17	SAMN32058478		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	1776926	"1776926","1776926.biosample","SRS15970817"	Salmonella Typhimurium - monophasic	PDT001514090.1	2022-12-06T06:42:36Z	United Kingdom: United Kingdom	human	clinical	2	5	SAMN32059710		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320659	"PNUSAS320659","SRS15977964"	I 4:i:-	PDT001514716.1	2022-12-06T17:45:54Z	USA		clinical	0	9	SAMN32071020		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320669	"PNUSAS320669","SRS15978069"	I 4:i:-	PDT001514726.1	2022-12-06T17:45:56Z	USA		clinical	0	9	SAMN32071270		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320546	"PNUSAS320546","SRS15981676"		PDT001514874.1	2022-12-06T20:39:58Z	USA		clinical	0	4	SAMN32075189	GCA_026701405.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320548	"PNUSAS320548","SRS15981677"		PDT001514875.1	2022-12-06T20:39:59Z	USA		clinical	4	9	SAMN32075184	GCA_026701425.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320825	"PNUSAS320825","SRS15993228"		PDT001516107.1	2022-12-07T21:44:21Z	USA		clinical	18	13	SAMN32094202	GCA_026734795.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320823	"PNUSAS320823","SRS15993230"		PDT001516108.1	2022-12-07T21:44:22Z	USA		clinical	7	22	SAMN32094205	GCA_026733475.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	FSIS32208278	"FSIS32208278","SRS15994651"	Salmonella enterica subsp. enterica serovar I4,[5],12:i-	PDT001516591.1	2022-12-07T22:44:46Z	USA:MI	Product-Raw-Ground, Comminuted or Otherwise Nonintact-Pork	environmental/other	1	2	SAMN32095897		antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
Salmonella enterica	PNUSAS320478	"PNUSAS320478","SRS15996062"		PDT001516645.1	2022-12-07T23:49:28Z	USA		clinical	0	15	SAMN32098564	GCA_026736715.1	antigen_formula=4:i:-,serotype=I 4,[5],12:i:-
